,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
150,1584316800000,5326.48000000,5361.94000000,4426.37000000,4579.02000000,179.46681600,1584359999999,880239.02161686,1040,80.09157500,395089.86774150,0
151,1584360000000,4558.02000000,5206.96000000,4493.61000000,5023.00000000,346.42951600,1584403199999,1695134.34975670,1894,220.74443000,1079501.00618512,0
152,1584403200000,5018.11000000,5421.74000000,4950.17000000,5267.36000000,172.50619800,1584446399999,905803.54254071,1043,123.33432900,647525.01750850,0
153,1584446400000,5254.16000000,5522.61000000,5055.25000000,5320.37000000,134.60540800,1584489599999,719313.82941097,707,96.06240100,513160.14515715,0
154,1584489600000,5337.47000000,5437.71000000,5014.78000000,5133.23000000,134.16858300,1584532799999,697333.09056293,643,79.68684000,412264.60827532,0
155,1584532800000,5124.80000000,5411.39000000,5000.05000000,5390.21000000,433.40821900,1584575999999,2277996.89570271,1195,276.04299500,1451955.23162571,0
156,1584576000000,5394.56000000,5662.36000000,5252.01000000,5624.85000000,122.53110000,1584619199999,665304.54282323,805,84.47324200,458745.72959619,0
157,1584619200000,5638.32000000,6397.65000000,5618.31000000,6179.03000000,358.16869900,1584662399999,2178380.73657690,2966,205.49963500,1248562.79247397,0
158,1584662400000,6166.81000000,6904.12000000,6065.59000000,6650.10000000,201.96953900,1584705599999,1317359.02366686,1312,117.86090100,765903.90339850,0
159,1584705600000,6651.90000000,6704.27000000,5685.74000000,6205.00000000,340.77207800,1584748799999,2142507.72670767,2493,195.07395500,1227083.97870280,0
160,1584748800000,6208.38000000,6375.84000000,5871.38000000,6116.24000000,165.77415300,1584791999999,1015729.17653530,1130,95.96845800,588751.17975987,0
161,1584792000000,6121.97000000,6451.84000000,6054.37000000,6165.00000000,183.73462700,1584835199999,1143438.30449526,944,111.15757600,692341.03781621,0
162,1584835200000,6148.07000000,6403.69000000,6114.51000000,6142.83000000,91.28524400,1584878399999,573693.39735892,576,62.52879300,394070.56773619,0
163,1584878400000,6141.94000000,6141.94000000,5762.84000000,5818.52000000,290.79761400,1584921599999,1741096.11317071,1390,170.01635600,1017740.23944786,0
164,1584921600000,5810.22000000,5990.54000000,5696.92000000,5822.44000000,106.01353800,1584964799999,619104.55913123,673,61.75536400,361378.31665183,0
165,1584964800000,5848.38000000,6586.88000000,5848.38000000,6481.71000000,219.89714700,1585007999999,1389029.45269273,1306,113.38824100,716148.16729668,0
166,1585008000000,6499.47000000,6830.63000000,6387.89000000,6727.14000000,103.68057300,1585051199999,685817.66322435,859,52.71931100,349222.05448592,0
167,1585051200000,6734.97000000,6791.92000000,6462.89000000,6749.94000000,89.85692900,1585094399999,598219.86201088,872,41.60347900,277176.54472465,0
168,1585094400000,6744.53000000,6954.56000000,6474.17000000,6510.71000000,97.71588900,1585137599999,652190.17100550,681,47.60100800,317999.54446030,0
169,1585137600000,6511.97000000,6793.00000000,6511.97000000,6695.91000000,81.58075900,1585180799999,543237.87228123,593,46.84122100,311821.34153259,0
